shift_id,category,note
S107751,absence_cover,"September didnt come in, covered the post !"
S100406,no_useful_information,as per normal
S101019,late_handover,"late handover, waiting on paperwork"
S104171,unclear_or_mixed,"requested by centre management for load in, signed off"
S100329,relief_problem,client signed for the extra hours but real reason is relief no show again
S104084,late_handover,"late handover, waiting on paperwork"
S105455,absence_cover,Covering for Mahlangu - booked off sick
S104307,unclear_or_mixed,"requested by centre management for load in, signed off"
S107353,no_useful_information,nothing to report
S105081,relief_problem,"control room says relief coming, nobody came"
S104524,no_useful_information,all quiet
S106429,late_handover,shift handover delayed by 30 min
S103630,absence_cover,"Botha absent, took her rounds as well"
S101912,absence_cover,"covering khumalo post, no show no call"
S106449,client_requested,client requested deep clean before the audit - approved !
S102915,absence_cover,"worked through, Baloyi at the clinic"
S108089,relief_problem,"conntrol room says relief coming, nobody came"
S100063,absence_cover,"Botha didnt come in, covered the post"
S109151,no_useful_information,no incidents
S105810,cover_unspecified,covered for mauel again - 3rd time this month
S100324,relief_problem,"still on site, relief was suppose to come 06:00"
S108372,absence_cover,"worked through, Sibiya at the clinic.."
S104893,late_handover,"waited 20 min for handover, OB book not signed"
S106412,absence_cover,"uTshabalala akezanga namhlanje, ngimele yena"
S106153,cover_unspecified,stood in for Pillay..
S107045,relief_problem,relief no show AGAIN
S104802,unclear_or_mixed,"extra patrol per client email, approved by office"
S108282,client_requested,klient het ekstra ure gevra vir stocktake
S103468,late_handover,"waited 25 min for handover, OB book not signed"
S100592,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104639,unclear_or_mixed,"additional cover requested by site mgr, signed off"
S106391,no_useful_information,akukho lutho
S102310,no_useful_information,.
S108259,equipment_failure,"gate motor failed, manned it by hand till 6"
S107682,no_useful_information,-
S106087,relief_problem,"relief only arrived 06h00, stayed until then"
S101617,no_useful_information,
S103563,no_useful_information,sharp
S107432,no_useful_information,ntr
S105979,no_useful_information,fine
S107340,absence_cover,Covering for Mahlangu - bookked off sick
S103376,client_requested,"client wanted extra man on the gate for the event, approved"
S107293,relief_problem,"relief never arrived, stayed on till 6"
S100954,no_useful_information,ok
S101549,late_handover,"handover late agn, keys missing"
S100624,no_useful_information,akukho lutho
S100926,absence_cover,"covering Hendricks pos, no show no call"
S103528,unclear_or_mixed,Centre mgr requested additional cover for stocktake
S107844,client_requested,Clint requested deep clean before the audit - approved
S106119,absence_cover,"uMolefe akezanga namhlanje, ngimele yena"
S101874,relief_problem,"no replacement sent, ngicela sort this out"
S107803,no_useful_information,fine
S105335,client_requested,client asked for extra patrol after the break-in tueesday
S107833,unclear_or_mixed,"oorhandiging was laa, gewag vir sleutels"
S108358,cover_unspecified,"took Motaung shift as well, 2 posts 1 guard"
S101505,no_useful_information,
S106236,unclear_or_mixed,extra hours approved by clent for the event setup
S101047,unclear_or_mixed,Centre manager requested additional cover for stocktake
S109288,no_useful_information,all quiet
S104123,no_useful_information,nothing to report
S108613,late_handover,"oorhandiging was laat, gewag vir sleutels"
S103780,no_useful_information,nothing to report
S109338,relief_problem,relief no show again
S106991,client_requested,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S108913,relief_problem,double shift bc relief never pitched
S101184,late_handover,shift handover delayed by 25 min
S101387,absence_cover,"gedek vir Adaams, siek gemeld"
S108219,no_useful_information,nothing to report
S101599,relief_problem,client signed for the extra hours but real reason is relief no show agin
S106262,cover_unspecified,"covering Molefe post, no sow no call.."
S102769,no_useful_information,n/a
S109299,absence_cover,"Hendricks didnt come in, coevred the post"
S101576,late_handover,"waited 30 min for handover, OB book not signed !"
S104408,absence_cover,"ugNcobo akezanga namhlanje, ngimele yena"
S102020,cover_unspecified,"took Wyk shift as well, 2 posts 1 guard"
S105189,client_requested,CLIENT REQUESTED DEEP CLEAN BEFORE THE AUDIT - APPROVED
S101875,late_handover,shift handover delayed by 30 min
S103448,absence_cover,"Mokoena didnt come in, covered the pst"
S104440,relief_problem,"waited for relief, nobody came through"
S103026,relief_problem,relief no shwo AGAIN
S100892,absence_cover,"uJacobs akezanga namhlanje, ngimele yena.."
S107877,late_handover,shift handover delayed by 45 min
S108492,no_useful_information,fine
S107113,late_handover,"handover late again, keys missing"
S104838,client_requested,"cllient says stay till 06h00, dont know if office approved"
S104527,unclear_or_mixed,Covreed for Mabaso agn - 3rd time this month
S106371,absence_cover,"double duty today, Dlamini on family responsibility leave"
S108108,relief_problem,"aflos het nie opgedaag nie, moes aanbly"
S102956,late_handover,"late handover, waiting on paperwork.."
S101752,absence_cover,"gedek vir Maluleke, siek gemeld"
S103686,relief_problem,"relief never arrived, stayed on till 06h00"
S104188,cover_unspecified,"TOOK SIBIYA SHIFT AS WELL, 2 POSTS 1 GUARD"
S107471,no_useful_information,.
S107963,absence_cover,"Sithole absent, took her rounds as well.."
S101906,equipment_failure,"scrubber broke down, had to do the flooor manually"
S102383,client_requested,"client wanted extra man on the gate for the event, appoved"
S104172,equipment_failure,"generator fault, stayed to monitor"
S108025,relief_problem,"reliief only arrived 06:00, stayed until then"
S109329,client_requested,"client says stay till 6am, dont kow if office approved"
S103063,cover_unspecified,"took Wyk shift as well, 2 posts 1 guard"
S100422,absence_cover,mavuso off sick. again. covered.
S107743,absence_cover,"gedek vir Khumalo, siek gemeld !"
S100921,no_useful_information,as per normal
S108442,late_handover,"oorhandiging was laat, gewag vir sleutels"
S107824,unclear_or_mixed,Centre manager requested additional cover for stocktake
S106793,relief_problem,client signed for the extra hours but real reason is relief no show agn..
S101513,cover_unspecified,"TOOK BOTHA SHIFT AS WELL, 2 POSTS 1 GUARD"
S102046,client_requested,"client wanted extra man on the gate for the event, approved"
S108952,late_handover,"handover late again, keys missign"
S105999,cover_unspecified,stood in for Ndlovu
S103398,relief_problem,"control room syas relief coming, nobody came"
S102032,equipment_failure,"machine down again, took twice as long.."
S108170,equipment_failure,"lift out of order, everything carried up stairs, took long"
S103186,late_handover,"waited 45 min for handover, ob book not signed"
S103258,no_useful_information,n/a
S102514,absence_cover,"maluleke absent, took her rounds as well"
S101242,unclear_or_mixed,extra hours approved by cliennt for the event setup
S103855,late_handover,"oorhandiging was laat, gewag vir sleutels"
S107720,equipment_failure,"machine down again, took twce as long"
S104067,no_useful_information,sharp
S105344,absence_cover,"covering Mokoena post, no show no call"
S100153,equipment_failure,"buffer machine kaput, did the floor by hand"
S100195,unclear_or_mixed,"additional cover requuested by site maanger, signed off"
S100504,no_useful_information,quiet shift
S107445,cover_unspecified,"toko Fourie shift as well, 2 posts 1 guard"
S105589,unclear_or_mixed,extra hours approoved by clinet for the event setup
S104419,late_handover,shift handover delayed by 25 min !
S107473,absence_cover,"wroked through, naidoo at the clinic"
S101083,no_useful_information,quiet shift
S100377,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102826,no_useful_information,n/a
S100391,relief_problem,"aflos het nie opgedaag nie, moes aabnly"
S108328,absence_cover,"covering Jacobs post, no show no call"
S100618,no_useful_information,nothing to report
S107742,relief_problem,"control room says relief coming, nobdoy came"
S104637,unclear_or_mixed,extra hours approved by client for the event setup
S100893,equipment_failure,"buffer machine kaput, did the floor by hand.."
S104125,relief_problem,"waited for relief, nobody came through"
S103628,unclear_or_mixed,extra hrs approved by client for the event setup
S106131,unclear_or_mixed,extra hrs approved by client for the event setup
S107763,no_useful_information,no incidents
S107745,unclear_or_mixed,"requested by centre management for load in, signed off !"
S106445,relief_problem,no relief. stayed. someone must please sort the roster..
S106151,late_handover,shift handover delayed by 50 min
S103016,no_useful_information,ok
S104630,equipment_failure,"lift out of order, everything carried up stairs, took long"
S104543,unclear_or_mixed,exra hours approved by client for the event setup
S104784,equipment_failure,"machine down agn, took twice as long.."
S101584,client_requested,Client requested deep clean before the audit - approved
S107058,relief_problem,"control room says relief coming, nobody came"
S100599,absence_cover,"double duty today, jacobs on family responsibility leave"
S106491,client_requested,Client asked for extra patrol after the break-in Tuesday
S108623,unclear_or_mixed,"nxt shift akafikanga, ngihlale kuze kube 0600"
S108587,absence_cover,"worked through, september at the clinic"
S107327,relief_problem,no relief. staye. someone must pleease sort the roster !
S109285,late_handover,shift handover delayed by 30 min
S104563,late_handover,shift handover delayed by 30 min
S101903,no_useful_information,no incidents
S104534,cover_unspecified,"took Wyk shift as well, 2 posts 1 guard.."
S100693,late_handover,"handover late agn, keys missing !"
S102396,relief_problem,"next shift akafikanga, ngihlale kuze kube 06h00"
S108862,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S106564,unclear_or_mixed,centre manager requested additional cover for stocktake
S101591,absence_cover,"uAdams akezanga namhlanje, ngimele yena"
S107632,late_handover,shift handover delayed by 40 min
S107123,late_handover,"oorhandiging was laat, geewag vir sleutels"
S100716,absence_cover,Botha off sick. again. covered
S106552,absence_cover,Covering for Khumalo - booked off sick
S108889,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S100160,relief_problem,"aflos het nie opgedaag nie, moes aanbly"
S108113,client_requested,"client wanted extra man on the gate for the event, approved"
S104315,cover_unspecified,Covered for Zulu agn - 3rd time this month
S100588,late_handover,"oorhandiging was laat, gewag vir sletuels"
S106213,absence_cover,"Radebe didnt come in, covered the post"
S102110,client_requested,"client says stay till 0600, dont know if office approved"
S103965,absence_cover,"Mavuso didnt come in, covered the post"
S102765,equipment_failure,"buffer mcahine kaput, did the floor by hand.."
S102065,client_requested,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S108797,client_requested,Client requested deep clean before the audit - approved
S100570,no_useful_information,no incidents
S106130,unclear_or_mixed,extra hours approved by client for the event setup
S105900,absence_cover,"covering Maluleke post, no show no call"
S100159,equipment_failure,"lift out of order, everything carried up stairs, took long"
S107412,client_requested,Client requested deep clean before the audit - approved
S104919,relief_problem,double shift bc relief never pitched
S104519,equipment_failure,"SCRUBBER BROKE DOWN, HAD TO DO THE FLOOR MANUALLY"
S104625,equipment_failure,"scrubber broke down, had to do the floor manually"
S104230,absence_cover,"HENDRICKS DIDNT COME IN, COVERED THE POST"
S107710,equipment_failure,"buffer machine kaput, did the floor by hand.."
S107512,no_useful_information,no issues on site
S107337,relief_problem,next shift guard did not pitch. had to cover.
S109128,no_useful_information,sharp
S104122,no_useful_information,-
S100731,late_handover,"late handover, waiting on paperwork"
S107041,client_requested,"client says stay till 0600, dont know if offcie approved"
S107057,no_useful_information,no incidents
S108017,relief_problem,"relief only arrived six, stayed until thhen"
S100815,no_useful_information,
S105108,equipment_failure,"buffer machine kaput, did the floor by hand"
S104091,absence_cover,"double duty today, Ngcobo on family responsibility leave"
S105998,no_useful_information,sharp
S106138,relief_problem,"relief only arrived 06:00, stayed until then"
S103597,absence_cover,"covering Molefe post, no show no call.."
S107765,relief_problem,no relief. stayed. someone must please sort the roster
S102732,cover_unspecified,stood in for Khumalo
S100013,relief_problem,"no replacement sent, ngicela sort this out"
S107891,absence_cover,"covering Radebe post, no show no call"
S104320,relief_problem,client signed for the extra hrs but real reason is relief no show again
S103450,client_requested,"client wanted extra man on the gate for the event, approved"
S105833,unclear_or_mixed,Centre manager requested additional cover for stocktake..
S107430,equipment_failure,"buffer machine kaput, did the floor by hand"
S105324,late_handover,"waited 20 min for handover, OB book not signed"
S101068,absence_cover,"mavuso didnt come in, covered the post"
S103089,cover_unspecified,"took Mavuso shift as well, 2 posts 1 guard"
S106346,client_requested,"CLIET SAYS STAY TILL 0600, DONT KNOW IF OFFICE APPROVED"
S100845,no_useful_information,n/a
S101082,no_useful_information,-
S102397,relief_problem,"relief oly arrived six, stayed until then"
S101577,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S103386,no_useful_information,akukho lutho
S100261,unclear_or_mixed,"extra patrol per client email, approved by office"
S108560,absence_cover,"Motaung absent, took her rounds as well"
S100346,equipment_failure,"gate motor faled, manned it by hand till 06h00"
S107758,relief_problem,"waited for relief, nobody came through"
S103760,relief_problem,client signed for the extra hours but real reason is relief no show agn
S105632,late_handover,"late handover, waiting on paperwork"
S102162,no_useful_information,quiet shift
S106556,equipment_failure,"gate motor failed, manned it by hand till six"
S106150,absence_cover,"DOUBLE DUTY TODAY, WYK ON FAMILY RESPONSIBILITY LEAVE"
S104946,no_useful_information,ok
S109135,late_handover,"late handover, waiting on paperwork"
S107358,unclear_or_mixed,"extra patrool per client email, approved by office"
S108965,client_requested,"client says stay till six, dont know if office approved"
S107557,absence_cover,Balloyi off sick. agn. covered
S102889,client_requested,"client says stay till 6am, dont know if office approved"
S101114,client_requested,klient het ekstra ure gevra vir stocktake !
S104158,unclear_or_mixed,"client says say till 6am, dont know if office approved"
S108836,relief_problem,"waited for relief, nobody came through"
S103378,unclear_or_mixed,"handover laet agn, keys missing"
S108174,late_handover,shift handover delayed by 20 min..
S102121,no_useful_information,akukho lutho
S106272,unclear_or_mixed,"additional cover requested by site manager, signed off"
S102883,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104413,absence_cover,"double duty today, Zulu on family responsibility leave"
S102630,cover_unspecified,"took dlamini shift as well, 2 posts 1 guard"
S103206,cover_unspecified,stood in for Fourie
S103609,absence_cover,"gedek vir Ndlovu, siek gemeld"
S103551,unclear_or_mixed,CLIETN ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY
S107118,client_requested,klient het ekstra ure gevra vir stocktake
S107491,absence_cover,zulu off sick. again. coveered.
S103775,equipment_failure,"scrubber broke down, had to do the floor manually.."
S104429,absence_cover,"Septeember didnt come in, covered the post"
S104005,absence_cover,"Mabaso didnt come in, covered the post"
S102885,no_useful_information,sharp
S106574,no_useful_information,ntr
S104365,unclear_or_mixed,"additional cover requested by site mgr, signed off"
S105303,unclear_or_mixed,extra hours approved by client for the event setup
S102254,client_requested,"client says stay till 6, dont know if office approved"
S102028,client_requested,"stocktake ran over, client asked us to reemain, they know they pay for it"
S107739,client_requested,klient het ekstra ure gevra vir stocktake..
S100313,equipment_failure,"generator fault, stayed to monitor"
S105239,equipment_failure,"scrubber broke down, had to do the floor manually"
S101500,absence_cover,"Sithole absent, took her rounds as well"
S109296,relief_problem,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 0600.."
S109301,cover_unspecified,"took Wyk shift as well, 2 posts 1 gard.."
S102605,no_useful_information,n/a
S103931,no_useful_information,niks om te rapporteer nie
S102420,late_handover,"oorhandiging was laat, gewag vir sleutels"
S108871,client_requested,Client askeed for extra patrol afetr the break-in Tuesday
S105150,no_useful_information,-
S106438,cover_unspecified,stood in for Mabaso
S102631,relief_problem,"NEXT SHIFT AKAFIKANGA, NGIHLALE KUZE KUBE 06:00"
S105083,unclear_or_mixed,"additional cover requested by site manager, signed off"
S108286,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S101325,client_requested,klient het ekstra ure gevra vir stocktake !
S108195,relief_problem,"relief never arrived, stayed on till 6am"
S104015,cover_unspecified,"covering Motaung post, no show no caall"
S102989,late_handover,"handover late agn, keys missing"
S108078,relief_problem,Next shift guard did not pitch. Had to covr.
S106439,absence_cover,"double duty today, Sithole on family responsibility leave"
S101779,late_handover,"late handover, waiting on paperwork"
S101122,absence_cover,PILLAY OFF SICK. AGN. COVERED !
S102228,cover_unspecified,stood in for Fourie
S100554,unclear_or_mixed,Centre manager requested addtional cover for stocktake..
S108850,no_useful_information,.
S106565,no_useful_information,ok
S109287,late_handover,"waited 25 min for handover, OB book not signed.."
S108347,no_useful_information,n/a
S107387,cover_unspecified,"took naidoo shift as well, 2 posts 1 guard.."
S106396,client_requested,Client asked for extra patrol after the break-in Tuesday..
S100905,no_useful_information,quiet shift
S100333,absence_cover,"geddek vir Mabaso, siek gemeld.."
S103806,absence_cover,Ndlovu off sick. aggn. covered
S103850,no_useful_information,no issues on site
S101502,unclear_or_mixed,"additional cover requested by site manager, signed off"
S106645,client_requested,client asked for extra patrol after the break-in tuesday
S104103,absence_cover,"Pillay absent, took her rounds as well"
S102856,no_useful_information,niks om te rapporteer nie
S101331,relief_problem,"no replacement sent, ngicela sort this out.."
S108104,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S102307,absence_cover,"double duty today, Maluleke on family responsibility leave"
S102886,cover_unspecified,"took Adams shift as well, 2 posts 1 guard.."
S106107,equipment_failure,"machine down again, took twice as long"
S104337,unclear_or_mixed,"requested by centre management for load in, signed off"
S106848,no_useful_information,no issues on site
S103166,no_useful_information,ok
S103384,equipment_failure,"generator fault, stayed to monitor"
S100022,client_requested,Client rquested deep clean before the audit - approved
S109118,equipment_failure,"buffer machine kaput, did the floor by hand"
S103269,no_useful_information,all good
S100388,unclear_or_mixed,"additional cover requested by site manager, signed off"
S103014,absence_cover,"Sithole absent, took her rounds as well"
S103608,relief_problem,"aflos het nie opgedaag nie, moes aanbly"
S104501,no_useful_information,all fine
S103366,no_useful_information,quiet shift
S101518,late_handover,"waited 30 min for handover, ob book not signed"
S102859,equipment_failure,"scrubber broke down, had to do the floor manually"
S106529,client_requested,"client asked us to stay for the delivery, ok'd by centre mgmt"
S104422,no_useful_information,all fine
S100738,relief_problem,double shift bc relief never pitched
S102143,no_useful_information,ok
S101484,late_handover,"waited 45 min for handover, OB book not signed"
S105299,no_useful_information,n/a
S100204,no_useful_information,all good
S105768,client_requested,client asked for extra patrol after the break-in tuesday
S107100,no_useful_information,n/a
S106646,client_requested,client requested deep clean befroe the audit - approved
S104821,unclear_or_mixed,"oorhandiging was lat, gewag vir sleutels"
S101034,no_useful_information,no issues on site
S103226,client_requested,Client requested deep clean before the audit - approved..
S106671,unclear_or_mixed,"requested by centre management for load in, signed off"
S109348,relief_problem,client signed for the extra hours but real reason is relief no show agn
S105269,absence_cover,"covering Sibiya post, no show no call"
S103800,no_useful_information,nothing to report
S108275,relief_problem,relif no show AGAIN
S102865,client_requested,Client asked for extra patrol after the break-in Tuesday
S102439,no_useful_information,all good
S107217,equipment_failure,"buffer machine kaput, did the floor by hand"
S102952,no_useful_information,ntr
S108076,client_requested,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT"
S100629,cover_unspecified,COVERED FOR WYK AGAIN - 3RD TIME THIS MONTH
S108051,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S108033,relief_problem,Next shift guard did not pitch. Had to cover.
S108562,absence_cover,Covering for Adams - booked off sick
S104862,late_handover,"handover late again, keys missing"
S102855,relief_problem,Next shift guard did not pitch. Had to cover.
S103428,absence_cover,"zulu absent, took her rounds as well"
S103584,absence_cover,"worked through, baloyi at the clinic"
S106947,late_handover,shift handover delayed by 40 min
S108154,no_useful_information,.
S105631,absence_cover,Khumalo off sick. again. covered.
S104568,absence_cover,"Cele absent, took her rounds as well"
S105508,late_handover,"oorhandiging was laat, gewag vir sleutels"
S106033,absence_cover,Covering for Fourie - booked off sick
S106673,client_requested,Client asked for exra patrol after the break-in Tuesday
S109183,client_requested,Client requested deep clean before the audit - approveed
S108185,absence_cover,"covering Wyk post, no show no call"
S103019,relief_problem,"still on site, relief was suppose to come 06:00"
S102844,absence_cover,radebe off sick. again. covered.
S107816,absence_cover,"worked through, Maluleke at the clinic"
S101627,late_handover,"waited 40 min for handover, OB book not signed"
S108529,absence_cover,"uFourie akezanga namhalnje, ngimele yena"
S101445,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S104588,no_useful_information,all good
S108628,equipment_failure,"buffer machine kaput, did the floor by hand"
S108873,absence_cover,Fourie off sick. agn. covered.
S104017,absence_cover,"uPillay akezanga namhlanje, nimele yena !"
S106533,relief_problem,"no replacement sent, ngicela sort this out"
S101777,equipment_failure,"machine down again, took twice as long"
S103073,absence_cover,covering for nkosi - booked off sick..
S100983,no_useful_information,no issues on site
S108346,absence_cover,"covering Cele post, no show no call"
S107474,relief_problem,"control room says relief coming, nobody came"
S100715,no_useful_information,nothing to report
S106737,late_handover,"laet handover, waiting on paperwork"
S105115,absence_cover,Naidoo off sick. agn. covered.
S100577,unclear_or_mixed,"requested by centre management for load in, signed off"
S103405,no_useful_information,n/a
S105653,cover_unspecified,stood in for Jacobs
S102421,client_requested,"stocktake ran over, client asked us to remain, they know they pay for it"
S102725,no_useful_information,-
S103582,absence_cover,"Mabaso didnt come in, covered the post.."
S109249,no_useful_information,quiet shift
S106149,client_requested,client asked for extra patrol after the break-in tuesday
S103062,relief_problem,"no replacement sent, ngicela sort this out"
S103565,no_useful_information,ntr
S107861,no_useful_information,sharp
S100942,absence_cover,Nkosi off sick. again. covered.
S107766,absence_cover,"uAdams akezanga namhlanje, ngimele yena"
S104514,no_useful_information,ntr
S108019,equipment_failure,"BUFFER MACHINE KAPUT, DID THE FLOOR BY HAND.."
S100711,cover_unspecified,"took Wyk shift as well, 2 posts 1 guard"
S107338,cover_unspecified,"took Sithole shift as well, 2 posts 1 guard"
S105984,late_handover,"late handover, waiting on paperwork"
S100747,client_requested,"client says stay till 6am, dont know if office approved"
S103623,relief_problem,relief no show again
S106555,late_handover,shift handover delayed by 45 min
S104288,cover_unspecified,"took Sithole shift as well, 2 posts 1 guard"
S101734,absence_cover,"Mokoena absent, took her rounds as well"
S103832,relief_problem,"still on site, relief was suppose to come 06:00"
S106792,relief_problem,"no replacement sent, ngicela sort this out.."
S106354,client_requested,Client requested deep clean before the audit - approved
S102049,client_requested,"client asked us to stay for the delivery, ok'd by cnetre mgmt"
S106122,late_handover,shift handover delayed by 30 min..
S103211,unclear_or_mixed,"additional cover requested by site manager, signed off"
S103957,no_useful_information,quiet shift
S103447,relief_problem,"relief never arrived, stayed on till 06:00"
S103726,absence_cover,"worked through, fourie at the clinic"
S100818,absence_cover,"worked through, mthembu at the clinic"
S103655,late_handover,"late handover, waitnig on paperwork"
S102134,late_handover,"handover late agn, keys missing !"
S107628,no_useful_information,as per normal
S104916,absence_cover,"Mavuso absent, took her rounds as well"
S103547,relief_problem,"relief only arrived 6, stayed until then.."
S107968,relief_problem,"no replacement sent, ngicela sort this out"
S102834,equipment_failure,"gate motor failed, manned it by hand till 6"
S108466,unclear_or_mixed,"GEDK VIR MOKOENA, SEK GEMELD"
S108071,relief_problem,"waited for relief, nobody came through"
S107721,absence_cover,"WORKED THROUGH, MOTAUNG AT THE CLINIC"
S106240,relief_problem,"aflos het nie opgedaag nie, moes aanbly.."
S102816,relief_problem,client signed for the extra hours but real reason is relief no show agn
S103400,relief_problem,RELIEF NO SHOW AGAIN
S103567,absence_cover,Covering for Naidoo - booked off sick
S103011,relief_problem,"still on site, relief was suppose to coe six"
S106804,equipment_failure,"masjien is stukkend, alles met die hand gedoen"
S104038,late_handover,"late handover, waiting on paperwork"
S101555,unclear_or_mixed,Clint ased for extra patrol after the break-in Tuesday
S105556,absence_cover,"UMANUEL AKEZANGA NAMHLANJE, NGIMELE YENA"
S105003,no_useful_information,-
S107975,no_useful_information,no issues on site
S100140,relief_problem,Next shift guard did not pitch. Had to cover.
S107075,absence_cover,"double duty toda,y sibiya on family responsibility leave"
S106652,relief_problem,"still on site, relief was suppoes to come 6am"
